time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState
193.064,0.0,0.0,1.000,1.000,1,-90.2,0
193.094,0.0,0.0,1.000,1.000,1,-90.2,0
193.121,0.0,0.0,1.000,1.000,1,-90.2,0
193.149,0.0,0.0,1.000,1.000,1,-90.2,0
193.177,0.0,0.0,1.000,1.000,1,-90.2,0
193.205,0.0,0.0,1.000,1.000,1,-90.2,0
193.233,0.0,0.0,1.000,1.000,1,-90.2,0
193.261,0.0,0.0,1.000,1.000,1,-90.2,0
193.291,0.0,0.0,1.000,1.000,1,-90.2,0
193.319,0.0,0.0,1.000,1.000,1,-90.2,0
193.347,0.0,0.0,1.000,1.000,1,-90.2,0
193.375,0.0,0.0,1.000,1.000,1,-90.2,0
193.403,0.0,0.0,1.000,1.000,1,-90.2,0
193.430,0.0,0.0,1.000,1.000,1,-90.2,0
193.457,0.0,0.0,1.000,1.000,1,-90.2,0
193.488,0.0,0.0,1.000,1.000,1,-90.2,0
193.520,0.0,0.0,1.000,1.000,1,-90.2,0
193.549,0.0,0.0,1.000,1.000,1,-90.2,0
193.577,0.0,0.0,1.000,1.000,1,-90.2,0
193.605,0.0,0.0,1.000,1.000,1,-90.2,0
193.633,0.0,0.0,1.000,1.000,1,-90.2,0
193.660,0.0,0.0,1.000,1.000,1,-90.2,0
193.688,0.0,0.0,1.000,1.000,1,-90.2,0
193.716,0.0,0.0,1.000,1.000,1,-90.2,0
193.744,0.0,0.0,1.000,1.000,1,-90.2,0
193.772,0.0,0.0,1.000,1.000,1,-90.2,0
193.799,0.0,0.0,1.000,1.000,1,-90.2,0
193.827,0.0,0.0,1.000,1.000,1,-90.2,0
193.854,0.0,0.0,1.000,1.000,1,-90.2,0
193.881,0.0,0.0,1.000,1.000,1,-90.2,0
193.910,0.0,0.0,1.000,1.000,1,-90.2,0
193.938,0.0,0.0,1.000,1.000,1,-90.2,0
193.966,0.0,0.0,1.000,1.000,1,-90.2,0
193.995,0.0,0.0,1.000,1.000,1,-90.2,0
194.023,0.0,0.0,1.000,1.000,1,-90.2,0
194.051,0.0,0.0,1.000,1.000,1,-90.2,0
194.079,0.0,0.0,1.000,1.000,1,-90.2,0
194.107,0.0,0.0,1.000,1.000,1,-90.2,0
194.135,0.0,0.0,1.000,1.000,1,-90.2,0
194.163,0.0,0.0,1.000,1.000,1,-90.2,0
194.192,0.0,0.0,1.000,1.000,1,-90.2,0
194.220,0.0,0.0,1.000,1.000,1,-90.2,0
194.247,0.0,0.0,1.000,1.000,1,-90.2,0
194.276,0.0,0.0,1.000,1.000,1,-90.2,0
