time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState,futSpd,futDot,blockT
1492.033,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.061,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.090,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.120,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.149,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.178,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.207,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.237,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.267,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.297,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.326,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.356,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.387,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.416,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.445,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.475,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.506,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.535,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.565,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.595,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.625,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.656,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.685,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.715,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.743,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.774,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.803,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.833,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.862,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.892,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.920,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.949,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1492.978,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.009,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.037,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.066,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.095,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.125,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.157,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.188,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.218,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.248,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.277,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.305,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.334,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.364,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.396,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.425,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.455,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.485,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.514,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.544,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.572,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.602,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.631,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.660,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.690,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.719,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.748,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.778,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.807,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.837,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.866,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.897,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.928,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.957,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1493.988,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.020,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.051,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.081,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.111,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.140,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.169,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.198,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.228,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.260,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.291,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.321,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.351,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
