time,alpha,bF,bR,walkMode,sideRotW,handRollX
285.343,1.00,0,0,3,0.500,77.3
285.377,1.00,0,0,3,0.500,77.1
285.409,1.00,0,0,3,0.500,76.9
285.437,1.00,0,0,3,0.500,76.8
285.467,1.00,0,0,3,0.500,76.6
285.496,1.00,0,0,3,0.500,76.5
285.524,1.00,0,0,3,0.500,76.5
285.552,1.00,0,0,3,0.500,76.4
285.581,1.00,0,0,3,0.500,76.4
285.609,1.00,0,0,3,0.500,76.3
285.639,1.00,0,0,3,0.500,76.2
285.668,1.00,0,0,3,0.500,76.1
285.698,1.00,0,0,3,0.500,76.0
285.726,1.00,0,0,3,0.500,75.9
285.754,1.00,0,0,3,0.500,75.9
285.786,1.00,0,0,3,0.500,75.8
285.814,1.00,0,0,3,0.500,75.6
285.842,1.00,0,0,3,0.500,75.4
285.871,1.00,0,0,3,0.500,75.1
285.902,1.00,0,0,3,0.500,74.9
285.930,1.00,0,0,3,0.500,74.8
285.958,1.00,0,0,3,0.500,74.7
285.986,1.00,0,0,3,0.500,74.7
286.014,1.00,0,0,3,0.500,74.7
286.044,1.00,0,0,3,0.500,74.8
286.073,1.00,0,0,3,0.500,74.8
286.101,1.00,0,0,3,0.500,74.9
286.130,1.00,0,0,3,0.500,75.0
286.158,1.00,0,0,3,0.500,75.0
286.189,1.00,0,0,3,0.500,75.1
286.219,1.00,0,0,3,0.500,75.2
286.248,1.00,0,0,3,0.500,75.3
286.278,1.00,0,0,3,0.500,75.3
286.306,1.00,0,0,3,0.500,75.4
286.334,1.00,0,0,3,0.500,75.4
286.362,1.00,0,0,3,0.500,75.4
286.392,1.00,0,0,3,0.500,75.4
286.421,1.00,0,0,3,0.500,75.4
286.449,1.00,0,0,3,0.500,75.3
286.477,1.00,0,0,3,0.500,75.1
286.505,1.00,0,0,3,0.500,75.0
286.533,1.00,0,0,3,0.500,74.8
286.562,1.00,0,0,3,0.500,74.7
286.590,1.00,0,0,3,0.500,74.5
286.618,1.00,0,0,3,0.500,74.3
286.646,1.00,0,0,3,0.500,74.1
286.674,1.00,0,0,3,0.500,73.9
286.703,1.00,0,0,3,0.500,73.6
286.731,1.00,0,0,3,0.500,73.3
286.760,1.00,0,0,3,0.500,73.1
286.791,1.00,0,0,3,0.500,72.8
286.820,1.00,0,0,3,0.500,72.6
286.850,1.00,0,0,3,0.500,72.3
286.878,1.00,0,0,3,0.500,72.2
286.906,1.00,0,0,3,0.500,72.0
286.936,1.00,0,0,3,0.500,71.8
286.964,1.00,0,0,3,0.500,71.6
286.992,1.00,0,0,3,0.500,71.4
287.022,1.00,0,0,3,0.500,71.2
287.052,1.00,0,0,3,0.500,71.1
287.080,1.00,0,0,3,0.500,70.9
287.109,1.00,0,0,3,0.500,70.7
287.137,1.00,0,0,3,0.500,70.5
287.167,1.00,0,0,3,0.500,70.4
287.195,1.00,0,0,3,0.500,70.2
287.222,1.00,0,0,3,0.500,70.1
287.252,1.00,0,0,3,0.500,70.0
287.281,1.00,0,0,3,0.500,69.8
287.309,1.00,0,0,3,0.500,69.7
287.337,1.00,0,0,3,0.500,69.6
287.366,1.00,0,0,3,0.500,69.4
287.396,1.00,0,0,3,0.500,69.2
287.423,1.00,0,0,3,0.500,69.1
287.451,1.00,0,0,3,0.500,68.9
287.480,1.00,0,0,3,0.500,68.7
287.508,1.00,0,0,3,0.500,68.5
287.536,1.00,0,0,3,0.500,68.3
287.564,1.00,0,0,3,0.500,68.1
287.592,1.00,0,0,3,0.500,67.8
287.621,1.00,0,0,3,0.500,67.6
287.649,1.00,0,0,3,0.500,67.4
287.678,1.00,0,0,3,0.500,67.1
287.707,1.00,0,0,3,0.500,66.9
287.735,1.00,0,0,3,0.500,66.6
287.763,1.00,0,0,3,0.500,66.3
287.791,1.00,0,0,3,0.500,66.0
287.820,1.00,0,0,3,0.500,65.7
287.848,1.00,0,0,3,0.500,65.4
287.877,1.00,0,0,3,0.500,65.1
287.905,1.00,0,0,3,0.500,64.8
287.933,1.00,0,0,3,0.500,64.6
287.962,1.00,0,0,3,0.500,64.4
287.990,1.00,0,0,3,0.500,64.1
288.018,1.00,0,0,3,0.500,63.9
288.047,1.00,0,0,3,0.500,63.7
288.076,1.00,0,0,3,0.500,63.6
288.104,1.00,0,0,3,0.500,63.6
288.131,1.00,0,0,3,0.500,63.5
288.160,1.00,0,0,3,0.500,63.5
288.190,1.00,0,0,3,0.500,63.4
288.218,1.00,0,0,3,0.500,63.4
288.245,1.00,0,0,3,0.500,63.3
288.275,1.00,0,0,3,0.500,63.3
288.303,1.00,0,0,3,0.500,63.2
288.332,1.00,0,0,3,0.500,63.2
288.360,1.00,0,0,3,0.500,63.1
288.390,1.00,0,0,3,0.500,63.0
288.418,1.00,0,0,3,0.500,63.0
288.446,1.00,0,0,3,0.500,62.9
288.475,1.00,0,0,3,0.500,62.9
288.505,1.00,0,0,3,0.500,62.8
288.532,1.00,0,0,3,0.500,62.7
288.562,1.00,0,0,3,0.500,62.5
288.591,1.00,0,0,3,0.500,62.4
288.620,1.00,0,0,3,0.500,62.4
288.648,1.00,0,0,3,0.500,62.3
288.677,1.00,0,0,3,0.500,62.3
288.705,1.00,0,0,3,0.500,62.3
288.734,1.00,0,0,3,0.500,62.4
288.762,1.00,0,0,3,0.500,62.4
288.790,1.00,0,0,3,0.500,62.5
288.818,1.00,0,0,3,0.500,62.6
288.846,1.00,0,0,3,0.500,62.6
288.876,1.00,0,0,3,0.500,62.7
288.904,1.00,0,0,3,0.500,62.8
288.934,1.00,0,0,3,0.500,62.8
288.963,1.00,0,0,3,0.500,62.8
288.991,1.00,0,0,3,0.500,62.9
289.018,1.00,0,0,3,0.500,62.9
289.047,1.00,0,0,3,0.500,63.0
289.076,1.00,0,0,3,0.500,63.0
289.104,1.00,0,0,3,0.500,63.0
289.133,1.00,0,0,3,0.500,63.1
289.161,1.00,0,0,3,0.500,63.1
289.190,1.00,0,0,3,0.500,63.2
289.218,1.00,0,0,3,0.500,63.3
289.247,1.00,0,0,3,0.500,63.4
289.277,1.00,0,0,3,0.500,63.6
289.306,1.00,0,0,3,0.500,63.8
289.333,1.00,0,0,3,0.500,63.9
289.361,1.00,0,0,3,0.500,64.1
289.390,1.00,0,0,3,0.500,64.3
289.418,1.00,0,0,3,0.500,64.5
289.446,1.00,0,0,3,0.500,64.8
289.474,1.00,0,0,3,0.500,65.0
289.501,1.00,0,0,3,0.500,65.3
289.530,1.00,0,0,3,0.500,65.6
289.559,1.00,0,0,3,0.500,65.8
289.587,1.00,0,0,3,0.500,65.9
289.616,1.00,0,0,3,0.500,66.0
289.644,1.00,0,0,3,0.500,66.1
289.673,1.00,0,0,3,0.500,66.1
289.702,1.00,0,0,3,0.500,66.2
289.732,1.00,0,0,3,0.500,66.3
289.762,1.00,0,0,3,0.500,66.5
289.790,1.00,0,0,3,0.500,66.6
289.818,1.00,0,0,3,0.500,66.8
289.846,1.00,0,0,3,0.500,66.9
289.875,1.00,0,0,3,0.500,67.1
289.903,1.00,0,0,3,0.500,67.2
289.932,1.00,0,0,3,0.500,67.3
289.961,1.00,0,0,3,0.500,67.4
289.988,1.00,0,0,3,0.500,67.5
290.017,1.00,0,0,3,0.500,67.6
290.044,1.00,0,0,3,0.500,67.7
290.074,1.00,0,0,3,0.500,67.8
290.102,1.00,0,0,3,0.500,67.9
290.130,1.00,0,0,3,0.500,67.9
290.159,1.00,0,0,3,0.500,68.0
290.188,1.00,0,0,3,0.500,68.0
290.216,1.00,0,0,3,0.500,68.0
290.246,1.00,0,0,3,0.500,68.1
290.277,1.00,0,0,3,0.500,68.2
290.308,1.00,0,0,3,0.500,68.3
290.338,1.00,0,0,3,0.500,68.5
290.366,1.00,0,0,3,0.500,68.7
290.393,1.00,0,0,3,0.500,69.0
290.422,1.00,0,0,3,0.500,69.3
290.450,1.00,0,0,3,0.500,69.6
290.479,1.00,0,0,3,0.500,70.0
290.508,1.00,0,0,3,0.500,70.4
290.540,1.00,0,0,3,0.500,70.8
290.573,1.00,0,0,3,0.500,71.2
290.602,1.00,0,0,3,0.500,71.5
290.631,1.00,0,0,3,0.500,71.8
290.659,1.00,0,0,3,0.500,72.0
290.687,1.00,0,0,3,0.500,72.2
290.717,1.00,0,0,3,0.500,72.4
290.750,1.00,0,0,3,0.500,72.5
290.779,1.00,0,0,3,0.500,72.5
290.809,1.00,0,0,3,0.500,72.6
290.840,1.00,0,0,3,0.500,72.6
290.871,1.00,0,0,3,0.500,72.7
290.901,1.00,0,0,3,0.500,72.8
290.932,1.00,0,0,3,0.500,72.8
290.963,1.00,0,0,3,0.500,72.8
291.001,1.00,0,0,3,0.500,72.9
291.036,1.00,0,0,3,0.500,72.9
291.073,1.00,0,0,3,0.500,72.9
291.108,1.00,0,0,3,0.500,73.0
291.140,1.00,0,0,3,0.500,73.1
291.169,1.00,0,0,3,0.500,73.2
291.200,1.00,0,0,3,0.500,73.4
291.229,1.00,0,0,3,0.500,73.5
291.256,1.00,0,0,3,0.500,73.7
291.286,1.00,0,0,3,0.500,73.9
291.314,1.00,0,0,3,0.500,74.0
291.342,1.00,0,0,3,0.500,74.2
291.370,1.00,0,0,3,0.500,74.4
291.398,1.00,0,0,3,0.500,74.6
291.426,1.00,0,0,3,0.500,74.8
291.455,1.00,0,0,3,0.500,75.0
291.483,1.00,0,0,3,0.500,75.3
291.513,1.00,0,0,3,0.500,75.5
