time,alpha,aTgt,bR,bF,engR,engL,tR_n,tL_n,hR_n,hL_n,nx,ny
164.656,1.00,1.00,0,1,1.00,0.99,12002.5,12002.9,12002.5,12002.9,-1.00,0.00
164.687,1.00,1.00,0,1,1.00,1.00,12002.5,12002.8,12002.5,12002.8,-1.00,0.00
164.720,1.00,1.00,0,1,1.00,1.00,12002.5,12002.7,12002.5,12002.7,-1.00,0.00
164.753,1.00,1.00,0,1,1.00,1.00,12002.5,12002.6,12002.5,12002.7,-1.00,0.00
164.785,1.00,1.00,0,1,1.00,1.00,12002.5,12002.6,12002.5,12002.6,-1.00,0.00
164.820,1.00,1.00,0,1,1.00,1.00,12002.5,12002.6,12002.5,12002.6,-1.00,0.00
164.861,1.00,1.00,0,1,1.00,1.00,12002.5,12002.5,12002.5,12002.6,-1.00,0.00
164.892,1.00,1.00,0,1,1.00,1.00,12002.5,12002.5,12002.5,12002.5,-1.00,0.00
164.927,1.00,1.00,0,1,1.00,1.00,12002.5,12002.5,12002.5,12002.5,-1.00,0.00
164.959,1.00,1.00,0,0,1.00,1.00,12002.3,12002.3,12002.5,12002.5,-1.00,0.00
164.991,1.00,1.00,0,0,0.75,1.00,12002.1,12002.1,11998.0,12002.3,-1.00,0.00
165.023,1.00,1.00,0,0,0.55,1.00,12002.1,12002.1,11995.0,12002.2,-1.00,0.00
165.057,1.00,1.00,0,0,0.40,1.00,12002.0,12002.0,11994.0,12002.1,-1.00,0.00
165.098,1.00,1.00,0,0,0.27,1.00,12002.0,12002.0,11994.7,12002.0,-1.00,0.00
165.134,1.00,1.00,0,0,0.19,1.00,12002.0,12002.0,11998.4,12002.0,-1.00,0.00
165.168,1.00,1.00,0,0,0.14,1.00,12002.0,12002.0,12004.0,12002.0,-1.00,0.00
165.200,1.00,1.00,0,0,0.10,1.00,12002.0,12002.0,12009.4,12002.0,-1.00,0.00
165.232,1.00,1.00,0,0,0.08,1.00,12002.0,12002.0,12011.6,12002.0,-1.00,0.00
165.264,1.00,1.00,0,0,0.06,1.00,12002.0,12002.0,12011.1,12002.0,-1.00,0.00
165.298,1.00,1.00,0,0,0.04,1.00,12002.0,12002.0,12010.9,12002.0,-1.00,0.00
165.330,1.00,1.00,0,0,0.03,1.00,12002.0,12002.0,12013.4,12002.0,-1.00,0.00
165.363,1.00,1.00,0,0,0.02,1.00,12002.0,12002.0,12018.3,12002.0,-1.00,0.00
165.395,1.00,1.00,0,0,0.02,1.00,12002.0,12002.0,12025.7,12002.0,-1.00,0.00
165.428,1.00,1.00,0,0,0.01,1.00,12002.0,12002.0,12034.1,12002.0,-1.00,0.00
165.459,1.00,1.00,0,0,0.01,1.00,12002.0,12002.0,12039.2,12002.0,-1.00,0.00
165.492,1.00,1.00,0,0,0.01,1.00,12002.0,12002.0,12042.1,12002.0,-1.00,0.00
165.524,1.00,1.00,0,0,0.01,1.00,12002.0,12002.0,12043.0,12002.0,-1.00,0.00
165.556,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12042.3,12002.0,-1.00,0.00
165.588,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12039.1,12002.0,-1.00,0.00
165.624,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12033.4,12002.0,-1.00,0.00
165.656,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12027.6,12002.0,-1.00,0.00
165.689,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12020.7,12002.0,-1.00,0.00
165.721,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12014.9,12002.0,-1.00,0.00
165.752,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12011.6,12002.0,-1.00,0.00
165.784,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12010.3,12002.0,-1.00,0.00
165.816,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12010.0,12002.0,-1.00,0.00
165.850,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12010.2,12002.0,-1.00,0.00
165.883,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12012.0,12002.0,-1.00,0.00
165.915,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12015.4,12002.0,-1.00,0.00
165.947,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12020.6,12002.0,-1.00,0.00
165.978,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12026.7,12002.0,-1.00,0.00
166.009,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12034.2,12002.0,-1.00,0.00
166.042,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12040.5,12002.0,-1.00,0.00
166.074,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12042.7,12002.0,-1.00,0.00
166.106,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12042.7,12002.0,-1.00,0.00
166.139,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12041.8,12002.0,-1.00,0.00
166.170,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12040.6,12002.0,-1.00,0.00
166.203,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12039.0,12002.0,-1.00,0.00
166.235,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12036.7,12002.0,-1.00,0.00
166.267,1.00,1.00,0,0,0.00,1.00,12002.0,12002.0,12033.6,12002.0,-1.00,0.00
166.299,1.00,1.00,0,1,0.00,1.00,12002.2,12002.2,12028.2,12002.0,-1.00,0.00
166.331,1.00,1.00,0,1,0.26,1.00,12013.6,12002.4,12007.2,12002.2,-1.00,0.00
166.364,1.00,1.00,1,1,0.45,1.00,12017.9,12002.4,12000.5,12002.4,-1.00,0.00
166.397,1.00,1.00,1,1,0.60,1.00,12018.2,12002.5,12003.7,12002.4,-1.00,0.00
166.430,1.00,1.00,1,1,0.70,1.00,12016.7,12002.5,12008.6,12002.5,-1.00,0.00
166.465,0.03,1.00,1,1,0.79,1.00,12022.3,12012.9,12011.2,12002.5,-1.00,0.00
