time,alpha,bF,bR,walkMode,sideRotW,palmDotR,palmDotL,fingDotR
437.226,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.255,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.287,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.317,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.347,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.375,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.404,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.434,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.464,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
437.494,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.522,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.552,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.581,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.610,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.639,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.668,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.697,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.726,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.756,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.785,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
437.815,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.845,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.875,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.905,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.934,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.964,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
437.994,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.025,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.055,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.085,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.114,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.145,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.175,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
438.205,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
438.235,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
438.265,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
438.295,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.326,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.356,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.386,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.417,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
